episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
94,-148.0102,0.7176,3.1815,32.0813,0.6243,1.709483,
95,-111.579,0.7236,3.9405,24.0508,0.6211,1.717868,
96,-83.2773,0.7385,6.7512,18.0464,0.618,1.695721,
97,-144.4013,0.7023,4.7824,30.6631,0.6149,1.607696,
98,-114.3604,0.6752,5.7097,25.7057,0.6119,1.654431,
99,-33.6708,0.7387,9.539,7.1697,0.6088,1.451332,
100,-182.8037,0.7102,3.3571,38.1841,0.6058,1.7388,6.5958
101,-108.9117,0.695,5.75,22.5371,0.6027,1.663818,
102,-182.0164,0.7043,2.3376,38.648,0.5997,1.622018,
103,-129.3294,0.7487,0.4991,29.2218,0.5967,1.630983,
104,-96.8865,0.7022,4.9904,20.1944,0.5937,1.644061,
105,-107.6892,0.6959,7.5995,23.2461,0.5908,1.697031,
106,-111.2751,0.695,6.6501,22.6597,0.5878,1.510656,
107,-214.6588,0.7157,0.1174,45.0449,0.5849,1.479129,
108,-70.3514,0.6699,11.0947,13.7952,0.582,1.515552,
109,-76.448,0.7229,7.1214,18.1454,0.579,1.568097,
110,-118.2532,0.7245,6.2681,26.344,0.5762,1.54307,
111,-80.8671,0.7356,6.8477,19.7134,0.5733,1.443321,
112,-66.2607,0.6522,13.7975,12.5839,0.5704,1.682253,
113,-145.4015,0.7097,2.953,31.64,0.5676,1.603031,
114,-89.974,0.7299,6.678,19.1452,0.5647,1.406802,
115,-90.3398,0.7467,5.425,19.912,0.5619,1.583494,
116,-86.6921,0.7374,6.0289,19.8868,0.5591,1.617087,
117,-80.3584,0.6972,10.9718,17.164,0.5563,1.545065,
118,-73.691,0.7215,6.5092,15.7714,0.5535,1.535916,
119,-79.322,0.7509,4.6475,20.0192,0.5507,1.370201,
120,-188.6151,0.7335,-0.8187,41.0722,0.548,1.616657,
121,-144.2928,0.756,2.7677,31.9874,0.5452,1.607549,
122,-85.6487,0.7054,5.101,17.7861,0.5425,1.417234,
123,-117.6327,0.7135,4.9221,26.4097,0.5398,1.556926,
124,-118.2275,0.7209,5.2723,25.5473,0.5371,1.516338,
125,-44.7152,0.7149,11.3333,8.4185,0.5344,1.614854,4.2358
126,-55.4862,0.7611,8.2525,13.1412,0.5318,1.541696,
127,-23.1309,0.7071,12.0384,3.6107,0.5291,1.419892,
128,-104.9737,0.6973,8.6638,21.9672,0.5264,1.581175,
129,-72.7108,0.7556,4.2898,17.0992,0.5238,1.528077,
130,-93.6537,0.7351,1.8438,22.3468,0.5212,1.480986,
131,-56.9612,0.6773,13.0682,11.4888,0.5186,1.520676,
132,-50.1496,0.7147,8.736,11.4572,0.516,1.469227,
133,0.445,0.7087,12.0852,0.0,0.5134,1.57389,
134,-26.3112,0.7133,8.5541,6.9631,0.5108,1.356949,
135,-89.3195,0.7584,4.7349,21.4169,0.5083,1.408845,
136,-75.3127,0.7229,10.0135,16.1358,0.5058,1.458559,
137,-186.6651,0.6729,2.3415,39.9621,0.5032,1.504325,
138,-77.0706,0.7352,7.7569,16.2029,0.5007,1.380312,
139,-75.0039,0.7145,8.7731,15.7989,0.4982,1.403697,
140,-86.7738,0.6912,7.1441,19.4758,0.4957,1.364384,
141,-75.4361,0.729,4.896,16.3946,0.4932,1.533283,
142,-91.9485,0.7383,4.1369,21.0464,0.4908,1.293682,
143,-94.5324,0.7339,6.0124,19.9327,0.4883,1.505581,
144,-20.7912,0.6858,14.9643,3.5576,0.4859,1.570603,
145,-47.4725,0.712,10.5059,10.4103,0.4834,1.544554,
146,-164.9614,0.6912,0.5271,37.4573,0.481,1.399694,
147,-106.7256,0.7131,7.3683,23.135,0.4786,1.439236,
148,-97.671,0.7226,4.9127,21.5265,0.4762,1.362267,
